PC1,PC2,PC3,domain,difficulty_level
-1.0605311380521456,-0.567337758266075,1.7226822207017094,AI & ML,70
-3.4551762860252544,0.5614126290382911,-3.180424986826648,AI & ML,13
-1.6427861128410948,0.01910930787814874,1.4596979722835817,AI & ML,34
-1.7199626115663444,-0.5111821482423897,-0.32645464968457993,AI & ML,20
-0.9223042924633269,-1.5237605167675734,-0.5448078778363931,AI & ML,25
-0.8236360729537904,-0.8127733036593989,0.7085419511070237,AI & ML,34
-1.2532389513091136,-0.9754225091552948,-1.0052949923956367,AI & ML,46
-1.2759414783051461,-2.0110752366414735,-2.3701643598231414,AI & ML,23
-0.8721582528207418,-0.4557755972016126,0.5025946538588533,AI & ML,58
-1.0807161426084533,-2.0742391866113534,-1.840216663656674,AI & ML,32
-1.2876419782698416,-1.2566804554837638,-1.0020555708871732,AI & ML,55
-1.0444865368135146,-1.441204812124944,-1.5620523724065936,AI & ML,54
-4.0448160249961935,1.9147110604076392,-0.14130112340758752,AI & ML,35
-2.546169448072268,1.2449452586255174,1.917888225874615,AI & ML,42
-1.4057837740484482,0.4463236277004474,2.18855390134229,AI & ML,68
-0.26948910909478213,-0.2762123118755509,2.470625803801802,AI & ML,44
-0.9431205246627156,-0.7570004833652746,-0.3936347478420654,AI & ML,64
-0.6697504810740147,-1.1517992219438022,1.3060911829376618,AI & ML,48
-2.4764280602278506,0.7100317989218551,1.9124656370199131,AI & ML,72
-0.9757697816544342,-2.180955080126377,-1.7920150053874768,AI & ML,29
-0.9623621849476701,-2.331345241301522,-2.2250293063885187,AI & ML,20
-2.6930793628341068,0.5261842975986182,0.4906078126839657,AI & ML,36
-0.6726748998997037,-1.0454658844244151,1.5950327345031396,AI & ML,71
-0.8011552946448174,-2.055372333763052,-1.6542679677674934,AI & ML,59
-0.8758631799753946,-0.5912316011860396,1.1200979162186415,AI & ML,51
-1.3136556478942234,-0.6195025815619781,0.7351564438356729,AI & ML,57
-3.0274512200372583,1.3441862027956948,-0.5215976262333584,AI & ML,23
-0.6992049484919082,-0.4026685889033358,1.0963059469559517,AI & ML,21
-0.7197562589032127,-1.3114362836828823,0.70553004901863,AI & ML,50
-0.5093118661931927,-0.13624420958449518,2.2108344401358275,AI & ML,72
-2.9532499270846886,1.4598078797242335,1.1443136533871476,AI & ML,54
-1.3006488130820326,-0.9380915185228709,-0.13344956352574988,AI & ML,49
